City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dryden,49.7833,-92.7503,2.16,41,0,4.12,CA,1730415316
1,adamstown,-25.066,-130.1015,21.12,82,100,12.21,PN,1730415317
2,kodiak,57.79,-152.4072,3.73,87,100,8.23,US,1730415318
3,puerto natales,-51.7236,-72.4875,16.25,41,0,7.2,CL,1730415319
4,nuuk,64.1835,-51.7216,3.34,65,100,3.6,GL,1730415322
5,tazovsky,67.4667,78.7,-5.15,93,100,6.56,RU,1730415323
6,ushuaia,-54.8,-68.3,15.81,48,40,2.57,AR,1730415036
7,udachny,66.4167,112.4,-14.43,97,100,0.62,RU,1730415325
8,blackmans bay,-43.0167,147.3167,11.96,63,31,2.24,AU,1730415328
9,chinde,26.8212,87.7095,21.03,75,35,1.15,NP,1730415329
10,longyearbyen,78.2186,15.6401,-10.09,79,20,3.6,SJ,1730415330
11,edinburgh of the seven seas,-37.0676,-12.3116,14.04,81,81,10.93,SH,1730415331
12,grytviken,-54.2811,-36.5092,-0.97,77,24,5.97,GS,1730415332
13,codrington,-38.2667,141.9667,12.75,50,100,4.11,AU,1730415334
14,atafu village,-8.5421,-172.5159,28.08,68,88,4.13,TK,1730415335
15,hadibu,12.65,54.0333,25.28,75,4,3.55,YE,1730415336
16,port-aux-francais,-49.35,70.2167,6.1,92,100,17.21,TF,1730415337
17,belmonte,-15.8631,-38.8828,23.75,87,100,1.58,BR,1730415338
18,east london,-33.0153,27.9116,16.62,81,51,5.29,ZA,1730415110
19,bilibino,68.0546,166.4372,-12.33,93,87,2.76,RU,1730415341
20,jiashan,30.8492,120.9258,18.41,94,100,10.53,CN,1730415342
21,reggane,26.7158,0.1714,28.45,18,100,3.47,DZ,1730415343
22,greenville,35.6127,-77.3663,22.86,73,0,1.54,US,1730415344
23,kapuvar,47.5922,17.0289,10.53,94,98,0.62,HU,1730415345
24,shadrinsk,56.0852,63.6335,0.68,82,34,7.82,RU,1730415347
25,aykhal,66.0,111.5,-13.91,97,100,1.08,RU,1730415348
26,hawaiian paradise park,19.5933,-154.9731,26.73,87,75,7.2,US,1730415349
27,turochak,52.2576,87.1224,1.1,99,100,0.9,RU,1730415350
28,atoyac de alvarez,17.2,-100.4333,27.93,85,96,2.27,MX,1730415351
29,merizo village,13.2658,144.6691,29.1,87,100,7.35,GU,1730415352
30,felanitx,39.4696,3.1483,19.16,91,7,3.21,ES,1730415354
31,roxas,11.5853,122.7511,25.85,87,97,3.11,PH,1730415355
32,waitangi,-43.9535,-176.5597,12.54,86,54,7.55,NZ,1730415356
33,kavieng,-2.5744,150.7967,28.33,74,81,0.83,PG,1730415357
34,santana,-0.0583,-51.1817,30.1,70,0,4.12,BR,1730415358
35,punta arenas,-53.15,-70.9167,16.06,44,0,8.23,CL,1730415359
36,kingston,17.997,-76.7936,30.53,66,75,4.12,JM,1730415361
37,el kef,36.1742,8.7049,19.19,64,49,1.79,TN,1730415362
38,ilulissat,69.2167,-51.1,-3.99,36,20,8.23,GL,1730415363
39,puerto ayora,-0.7393,-90.3518,21.42,94,87,2.68,EC,1730415364
40,yarmouth,41.7057,-70.2286,17.2,90,0,5.14,US,1730415365
41,anadyr,64.75,177.4833,-2.72,73,40,12.0,RU,1730415366
42,al kharijah,25.4514,30.5464,17.62,49,0,2.62,EG,1730415368
43,ende,-8.8432,121.6623,26.56,72,100,1.36,ID,1730415369
44,anna regina,7.2644,-58.5077,27.5,75,6,4.2,GY,1730415370
45,bethel,41.3712,-73.414,22.55,65,100,0.89,US,1730415371
46,albany,42.6001,-73.9662,22.35,63,43,0.89,US,1730415372
47,talnakh,69.4865,88.3972,-9.77,94,100,4.85,RU,1730415374
48,mejit,10.2753,170.8646,28.41,75,57,3.91,MH,1730415375
49,arteche,12.2645,125.4048,26.99,89,55,2.99,PH,1730415376
50,peace river,56.2501,-117.286,-0.83,93,100,1.54,CA,1730415378
51,kruisfontein,-34.0033,24.7314,14.29,93,85,1.86,ZA,1730415379
52,turkmenbasy,40.0222,52.9552,9.43,76,0,0.0,TM,1730415381
53,invercargill,-46.4,168.35,10.01,97,100,0.45,NZ,1730415382
54,pingliang,35.5392,106.6861,8.81,90,100,1.37,CN,1730415383
55,arroio grande,-32.2375,-53.0869,19.77,82,41,7.15,BR,1730415384
56,kangding,30.0513,101.9603,8.76,95,92,1.12,CN,1730415385
57,lazaro cardenas,17.9583,-102.2,28.71,73,100,3.24,MX,1730415387
58,haiku-pauwela,20.9219,-156.3051,26.39,87,75,11.62,US,1730415388
59,songea,-10.6833,35.65,19.54,77,94,2.62,TZ,1730415389
60,vilyuchinsk,52.9306,158.4028,-2.85,70,63,3.84,RU,1730415390
61,tura,25.5198,90.2201,23.59,70,98,0.86,IN,1730415391
62,muynoq,43.7683,59.0214,8.71,66,66,3.81,UZ,1730415392
63,ambovombe,-25.1667,46.0833,21.8,95,2,2.47,MG,1730415394
64,crane,31.3974,-102.3501,23.34,18,1,3.99,US,1730415395
65,klaksvik,62.2266,-6.589,6.59,62,100,16.13,FO,1730415396
66,salalah,17.0151,54.0924,25.05,73,0,1.54,OM,1730415397
67,dolbeau-mistassini,48.8763,-72.212,4.26,94,100,2.95,CA,1730415398
68,stanley,54.868,-1.6985,10.01,95,75,4.63,GB,1730415400
69,avarua,-21.2078,-159.775,26.03,73,61,6.17,CK,1730415401
70,fort bragg,35.139,-79.006,24.85,63,0,2.57,US,1730415402
71,tiksi,71.6872,128.8694,-24.11,99,95,1.41,RU,1730415403
72,constantia,44.1833,28.65,11.38,69,100,3.13,RO,1730415404
73,zav'yalovo,56.7847,53.3776,0.22,96,100,4.9,RU,1730415405
74,cabo san lucas,22.8909,-109.9124,29.17,65,0,4.63,MX,1730415069
75,bongaree,-27.0797,153.1586,23.41,66,12,1.67,AU,1730415408
76,newman,37.3138,-121.0208,19.46,40,73,4.92,US,1730415409
77,el granada,37.5027,-122.4694,18.58,68,0,7.72,US,1730415410
78,olonkinbyen,70.9221,-8.7187,-5.05,60,100,10.98,SJ,1730415411
79,san marcos,33.1434,-117.1661,22.27,53,0,5.14,US,1730415412
80,island harbour,50.724,-1.2758,12.77,71,0,0.87,GB,1730415414
81,kailua-kona,19.6406,-155.9956,27.98,93,40,3.09,US,1730415415
82,egletons,45.4034,2.0507,10.62,94,1,1.06,FR,1730415416
83,yanchep,-31.55,115.6833,20.59,49,92,0.95,AU,1730415418
84,san patricio,28.017,-97.5169,27.97,62,61,4.23,US,1730415420
85,cidade velha,14.9167,-23.6167,25.26,78,40,4.63,CV,1730415421
86,thompson,55.7435,-97.8558,-3.91,46,20,1.54,CA,1730415422
87,yendi,9.4427,-0.0099,25.97,50,16,1.4,GH,1730415423
88,saynshand,44.8824,110.1163,0.61,54,44,2.26,MN,1730415424
89,nikki,9.9401,3.2108,23.28,41,26,1.35,BJ,1730415428
90,yellowknife,62.456,-114.3525,-5.33,99,100,7.72,CA,1730415429
91,bredasdorp,-34.5322,20.0403,15.33,97,31,2.57,ZA,1730415430
92,college,64.8569,-147.8028,-8.01,69,100,3.09,US,1730415431
93,craig,40.5153,-107.5464,8.97,29,100,7.72,US,1730415433
94,lebu,-37.6167,-73.65,12.18,84,82,2.8,CL,1730415434
95,isafjordur,66.0755,-23.124,-7.11,63,17,4.32,IS,1730415436
96,yaren,-0.5472,166.916,28.25,68,1,3.09,NR,1730415437
97,san antonio de pale,-1.4014,5.6325,25.31,83,42,4.64,GQ,1730415439
98,buka,40.8108,69.1986,10.93,50,100,1.87,UZ,1730415440
99,west island,-12.1568,96.8225,25.99,83,75,4.63,CC,1730415441
100,howrah,22.5892,88.3103,27.0,89,40,1.54,IN,1730415442
101,port alfred,-33.5906,26.891,17.32,86,77,0.89,ZA,1730415443
102,hirara,24.8,125.2833,28.15,89,75,12.86,JP,1730415444
103,scarborough,54.2797,-0.4044,10.51,71,0,2.24,GB,1730415446
104,karratha,-20.7377,116.8463,29.92,36,2,6.22,AU,1730415447
105,kursavka,44.4564,42.5093,10.13,78,82,5.77,RU,1730415448
106,papatowai,-46.5619,169.4708,7.58,94,100,1.0,NZ,1730415449
107,hamlet,34.8849,-79.6942,24.81,57,0,2.06,US,1730415450
108,vadso,70.0744,29.7487,-1.91,80,0,9.26,NO,1730415451
109,homer,59.6425,-151.5483,2.8,97,100,4.47,US,1730415453
110,afaahiti,-17.75,-149.2833,23.22,78,53,6.87,PF,1730415454
111,georgetown,5.4112,100.3354,26.96,88,40,1.03,MY,1730415455
112,bamboo flat,11.7,92.7167,25.87,82,96,1.42,IN,1730415457
113,thunder bay,48.4001,-89.3168,2.99,56,75,4.63,CA,1730415459
114,cordeiropolis,-22.4819,-47.4567,22.49,63,88,5.69,BR,1730415460
115,galliano,29.4422,-90.2992,27.0,78,40,3.09,US,1730415461
116,winnemucca,40.973,-117.7357,9.03,34,20,7.2,US,1730415462
117,chancay,-11.5714,-77.2672,17.91,81,41,3.64,PE,1730415463
